Geography;Crime Category;Financial Year;Count
ZA;Contact Crimes;2011;615935
ZA;Contact Crimes;2012;608724
ZA;Contact Crimes;2013;611574
ZA;Contact Crimes;2014;616973
ZA;Contact Crimes;2015;623223
ZA;Contact Crimes;2016;608321
ZA;Contact Crimes;2017;601366
ZA;Contact Crimes;2018;617210
ZA;Contact Crimes;2019;621282
ZA;Contact Crimes;2020;535217
Eastern Cape ;Contact Crimes;2011;75779
Eastern Cape ;Contact Crimes;2012;72650
Eastern Cape ;Contact Crimes;2013;73032
Eastern Cape ;Contact Crimes;2014;68654
Eastern Cape ;Contact Crimes;2015;67258
Eastern Cape ;Contact Crimes;2016;65524
Eastern Cape ;Contact Crimes;2017;65393
Eastern Cape ;Contact Crimes;2018;68416
Eastern Cape ;Contact Crimes;2019;68545
Eastern Cape ;Contact Crimes;2020;59093
Free State;Contact Crimes;2011;47486
Free State;Contact Crimes;2012;48480
Free State;Contact Crimes;2013;45945
Free State;Contact Crimes;2014;42314
Free State;Contact Crimes;2015;41100
Free State;Contact Crimes;2016;37741
Free State;Contact Crimes;2017;35725
Free State;Contact Crimes;2018;36879
Free State;Contact Crimes;2019;36059
Free State;Contact Crimes;2020;31668
Gauteng  ;Contact Crimes;2011;160289
Gauteng  ;Contact Crimes;2012;153610
Gauteng  ;Contact Crimes;2013;160881
Gauteng  ;Contact Crimes;2014;167264
Gauteng  ;Contact Crimes;2015;172814
Gauteng  ;Contact Crimes;2016;171466
Gauteng  ;Contact Crimes;2017;170640
Gauteng  ;Contact Crimes;2018;174894
Gauteng  ;Contact Crimes;2019;177737
Gauteng  ;Contact Crimes;2020;151911
KwaZulu-Natal;Contact Crimes;2011;105443
KwaZulu-Natal;Contact Crimes;2012;105444
KwaZulu-Natal;Contact Crimes;2013;101983
KwaZulu-Natal;Contact Crimes;2014;98757
KwaZulu-Natal;Contact Crimes;2015;97870
KwaZulu-Natal;Contact Crimes;2016;95153
KwaZulu-Natal;Contact Crimes;2017;94914
KwaZulu-Natal;Contact Crimes;2018;97505
KwaZulu-Natal;Contact Crimes;2019;101154
KwaZulu-Natal;Contact Crimes;2020;88851
Limpopo;Contact Crimes;2011;38826
Limpopo;Contact Crimes;2012;36786
Limpopo;Contact Crimes;2013;35953
Limpopo;Contact Crimes;2014;37971
Limpopo;Contact Crimes;2015;40391
Limpopo;Contact Crimes;2016;36764
Limpopo;Contact Crimes;2017;35068
Limpopo;Contact Crimes;2018;35266
Limpopo;Contact Crimes;2019;34780
Limpopo;Contact Crimes;2020;31120
Mpumalanga;Contact Crimes;2011;36661
Mpumalanga;Contact Crimes;2012;33692
Mpumalanga;Contact Crimes;2013;31775
Mpumalanga;Contact Crimes;2014;31886
Mpumalanga;Contact Crimes;2015;32737
Mpumalanga;Contact Crimes;2016;33381
Mpumalanga;Contact Crimes;2017;32646
Mpumalanga;Contact Crimes;2018;34885
Mpumalanga;Contact Crimes;2019;35622
Mpumalanga;Contact Crimes;2020;31488
North West;Contact Crimes;2011;36112
North West;Contact Crimes;2012;36067
North West;Contact Crimes;2013;34473
North West;Contact Crimes;2014;35082
North West;Contact Crimes;2015;35224
North West;Contact Crimes;2016;35483
North West;Contact Crimes;2017;36604
North West;Contact Crimes;2018;37487
North West;Contact Crimes;2019;36286
North West;Contact Crimes;2020;31636
Northern Cape;Contact Crimes;2011;18038
Northern Cape;Contact Crimes;2012;18649
Northern Cape;Contact Crimes;2013;18943
Northern Cape;Contact Crimes;2014;18877
Northern Cape;Contact Crimes;2015;18971
Northern Cape;Contact Crimes;2016;18105
Northern Cape;Contact Crimes;2017;17380
Northern Cape;Contact Crimes;2018;17891
Northern Cape;Contact Crimes;2019;17591
Northern Cape;Contact Crimes;2020;15309
Western Cape;Contact Crimes;2011;97301
Western Cape;Contact Crimes;2012;103346
Western Cape;Contact Crimes;2013;108589
Western Cape;Contact Crimes;2014;116168
Western Cape;Contact Crimes;2015;116858
Western Cape;Contact Crimes;2016;114704
Western Cape;Contact Crimes;2017;112996
Western Cape;Contact Crimes;2018;113987
Western Cape;Contact Crimes;2019;113508
Western Cape;Contact Crimes;2020;94141
ZA;Sexual Offences;2011;60539
ZA;Sexual Offences;2012;60888
ZA;Sexual Offences;2013;56680
ZA;Sexual Offences;2014;53617
ZA;Sexual Offences;2015;51895
ZA;Sexual Offences;2016;49660
ZA;Sexual Offences;2017;50108
ZA;Sexual Offences;2018;52420
ZA;Sexual Offences;2019;53293
ZA;Sexual Offences;2020;46214
Eastern Cape ;Sexual Offences;2011;9001
Eastern Cape ;Sexual Offences;2012;9288
Eastern Cape ;Sexual Offences;2013;9616
Eastern Cape ;Sexual Offences;2014;9224
Eastern Cape ;Sexual Offences;2015;8797
Eastern Cape ;Sexual Offences;2016;8050
Eastern Cape ;Sexual Offences;2017;8094
Eastern Cape ;Sexual Offences;2018;8731
Eastern Cape ;Sexual Offences;2019;8708
Eastern Cape ;Sexual Offences;2020;7445
Free State;Sexual Offences;2011;4785
Free State;Sexual Offences;2012;5098
Free State;Sexual Offences;2013;4584
Free State;Sexual Offences;2014;4094
Free State;Sexual Offences;2015;3928
Free State;Sexual Offences;2016;3488
Free State;Sexual Offences;2017;3284
Free State;Sexual Offences;2018;3457
Free State;Sexual Offences;2019;3746
Free State;Sexual Offences;2020;2971
Gauteng  ;Sexual Offences;2011;11512
Gauteng  ;Sexual Offences;2012;11113
Gauteng  ;Sexual Offences;2013;10264
Gauteng  ;Sexual Offences;2014;9902
Gauteng  ;Sexual Offences;2015;9510
Gauteng  ;Sexual Offences;2016;9566
Gauteng  ;Sexual Offences;2017;10116
Gauteng  ;Sexual Offences;2018;10752
Gauteng  ;Sexual Offences;2019;10810
Gauteng  ;Sexual Offences;2020;9749
KwaZulu-Natal;Sexual Offences;2011;11034
KwaZulu-Natal;Sexual Offences;2012;10964
KwaZulu-Natal;Sexual Offences;2013;9889
KwaZulu-Natal;Sexual Offences;2014;9079
KwaZulu-Natal;Sexual Offences;2015;8947
KwaZulu-Natal;Sexual Offences;2016;8484
KwaZulu-Natal;Sexual Offences;2017;8759
KwaZulu-Natal;Sexual Offences;2018;9308
KwaZulu-Natal;Sexual Offences;2019;9809
KwaZulu-Natal;Sexual Offences;2020;8201
Limpopo;Sexual Offences;2011;4836
Limpopo;Sexual Offences;2012;4866
Limpopo;Sexual Offences;2013;4423
Limpopo;Sexual Offences;2014;4312
Limpopo;Sexual Offences;2015;4369
Limpopo;Sexual Offences;2016;3828
Limpopo;Sexual Offences;2017;3862
Limpopo;Sexual Offences;2018;4060
Limpopo;Sexual Offences;2019;3990
Limpopo;Sexual Offences;2020;3720
Mpumalanga;Sexual Offences;2011;3955
Mpumalanga;Sexual Offences;2012;4065
Mpumalanga;Sexual Offences;2013;3797
Mpumalanga;Sexual Offences;2014;3474
Mpumalanga;Sexual Offences;2015;3331
Mpumalanga;Sexual Offences;2016;3216
Mpumalanga;Sexual Offences;2017;3198
Mpumalanga;Sexual Offences;2018;3470
Mpumalanga;Sexual Offences;2019;3513
Mpumalanga;Sexual Offences;2020;3134
North West;Sexual Offences;2011;4885
North West;Sexual Offences;2012;5228
North West;Sexual Offences;2013;4616
North West;Sexual Offences;2014;4585
North West;Sexual Offences;2015;4164
North West;Sexual Offences;2016;4326
North West;Sexual Offences;2017;4182
North West;Sexual Offences;2018;4021
North West;Sexual Offences;2019;3824
North West;Sexual Offences;2020;3262
Northern Cape;Sexual Offences;2011;1722
Northern Cape;Sexual Offences;2012;1826
Northern Cape;Sexual Offences;2013;1731
Northern Cape;Sexual Offences;2014;1578
Northern Cape;Sexual Offences;2015;1719
Northern Cape;Sexual Offences;2016;1587
Northern Cape;Sexual Offences;2017;1538
Northern Cape;Sexual Offences;2018;1578
Northern Cape;Sexual Offences;2019;1590
Northern Cape;Sexual Offences;2020;1295
Western Cape;Sexual Offences;2011;8809
Western Cape;Sexual Offences;2012;8440
Western Cape;Sexual Offences;2013;7760
Western Cape;Sexual Offences;2014;7369
Western Cape;Sexual Offences;2015;7130
Western Cape;Sexual Offences;2016;7115
Western Cape;Sexual Offences;2017;7075
Western Cape;Sexual Offences;2018;7043
Western Cape;Sexual Offences;2019;7303
Western Cape;Sexual Offences;2020;6437
ZA;Aggravated Robberies;2011;100769
ZA;Aggravated Robberies;2012;105488
ZA;Aggravated Robberies;2013;118963
ZA;Aggravated Robberies;2014;129045
ZA;Aggravated Robberies;2015;132527
ZA;Aggravated Robberies;2016;140956
ZA;Aggravated Robberies;2017;138364
ZA;Aggravated Robberies;2018;140032
ZA;Aggravated Robberies;2019;143990
ZA;Aggravated Robberies;2020;119841
Eastern Cape ;Aggravated Robberies;2011;12476
Eastern Cape ;Aggravated Robberies;2012;11751
Eastern Cape ;Aggravated Robberies;2013;13443
Eastern Cape ;Aggravated Robberies;2014;13245
Eastern Cape ;Aggravated Robberies;2015;12777
Eastern Cape ;Aggravated Robberies;2016;13688
Eastern Cape ;Aggravated Robberies;2017;13485
Eastern Cape ;Aggravated Robberies;2018;13578
Eastern Cape ;Aggravated Robberies;2019;13983
Eastern Cape ;Aggravated Robberies;2020;11458
Free State;Aggravated Robberies;2011;5323
Free State;Aggravated Robberies;2012;5791
Free State;Aggravated Robberies;2013;5347
Free State;Aggravated Robberies;2014;5239
Free State;Aggravated Robberies;2015;4778
Free State;Aggravated Robberies;2016;5147
Free State;Aggravated Robberies;2017;5032
Free State;Aggravated Robberies;2018;5339
Free State;Aggravated Robberies;2019;5119
Free State;Aggravated Robberies;2020;3992
Gauteng  ;Aggravated Robberies;2011;35148
Gauteng  ;Aggravated Robberies;2012;35717
Gauteng  ;Aggravated Robberies;2013;42506
Gauteng  ;Aggravated Robberies;2014;47362
Gauteng  ;Aggravated Robberies;2015;49792
Gauteng  ;Aggravated Robberies;2016;53793
Gauteng  ;Aggravated Robberies;2017;51706
Gauteng  ;Aggravated Robberies;2018;52040
Gauteng  ;Aggravated Robberies;2019;53927
Gauteng  ;Aggravated Robberies;2020;44109
KwaZulu-Natal;Aggravated Robberies;2011;18417
KwaZulu-Natal;Aggravated Robberies;2012;19923
KwaZulu-Natal;Aggravated Robberies;2013;20957
KwaZulu-Natal;Aggravated Robberies;2014;20881
KwaZulu-Natal;Aggravated Robberies;2015;21061
KwaZulu-Natal;Aggravated Robberies;2016;22327
KwaZulu-Natal;Aggravated Robberies;2017;21543
KwaZulu-Natal;Aggravated Robberies;2018;22110
KwaZulu-Natal;Aggravated Robberies;2019;22824
KwaZulu-Natal;Aggravated Robberies;2020;20964
Limpopo;Aggravated Robberies;2011;3652
Limpopo;Aggravated Robberies;2012;3917
Limpopo;Aggravated Robberies;2013;5163
Limpopo;Aggravated Robberies;2014;6123
Limpopo;Aggravated Robberies;2015;6723
Limpopo;Aggravated Robberies;2016;6745
Limpopo;Aggravated Robberies;2017;7048
Limpopo;Aggravated Robberies;2018;7006
Limpopo;Aggravated Robberies;2019;7466
Limpopo;Aggravated Robberies;2020;6105
Mpumalanga;Aggravated Robberies;2011;5681
Mpumalanga;Aggravated Robberies;2012;5198
Mpumalanga;Aggravated Robberies;2013;5252
Mpumalanga;Aggravated Robberies;2014;5656
Mpumalanga;Aggravated Robberies;2015;5996
Mpumalanga;Aggravated Robberies;2016;6702
Mpumalanga;Aggravated Robberies;2017;6757
Mpumalanga;Aggravated Robberies;2018;7091
Mpumalanga;Aggravated Robberies;2019;7672
Mpumalanga;Aggravated Robberies;2020;7004
North West;Aggravated Robberies;2011;5366
North West;Aggravated Robberies;2012;5271
North West;Aggravated Robberies;2013;5409
North West;Aggravated Robberies;2014;5977
North West;Aggravated Robberies;2015;6281
North West;Aggravated Robberies;2016;7017
North West;Aggravated Robberies;2017;6825
North West;Aggravated Robberies;2018;7023
North West;Aggravated Robberies;2019;6807
North West;Aggravated Robberies;2020;5733
Northern Cape;Aggravated Robberies;2011;967
Northern Cape;Aggravated Robberies;2012;1239
Northern Cape;Aggravated Robberies;2013;1402
Northern Cape;Aggravated Robberies;2014;1446
Northern Cape;Aggravated Robberies;2015;1387
Northern Cape;Aggravated Robberies;2016;1505
Northern Cape;Aggravated Robberies;2017;1639
Northern Cape;Aggravated Robberies;2018;1780
Northern Cape;Aggravated Robberies;2019;1643
Northern Cape;Aggravated Robberies;2020;1426
Western Cape;Aggravated Robberies;2011;13739
Western Cape;Aggravated Robberies;2012;16681
Western Cape;Aggravated Robberies;2013;19484
Western Cape;Aggravated Robberies;2014;23116
Western Cape;Aggravated Robberies;2015;23732
Western Cape;Aggravated Robberies;2016;24032
Western Cape;Aggravated Robberies;2017;24329
Western Cape;Aggravated Robberies;2018;24065
Western Cape;Aggravated Robberies;2019;24549
Western Cape;Aggravated Robberies;2020;19050
ZA;Contact Related Crimes;2011;125903
ZA;Contact Related Crimes;2012;124691
ZA;Contact Related Crimes;2013;123441
ZA;Contact Related Crimes;2014;125789
ZA;Contact Related Crimes;2015;124804
ZA;Contact Related Crimes;2016;120730
ZA;Contact Related Crimes;2017;115361
ZA;Contact Related Crimes;2018;117172
ZA;Contact Related Crimes;2019;112244
ZA;Contact Related Crimes;2020;102269
Eastern Cape ;Contact Related Crimes;2011;13687
Eastern Cape ;Contact Related Crimes;2012;13514
Eastern Cape ;Contact Related Crimes;2013;13735
Eastern Cape ;Contact Related Crimes;2014;13184
Eastern Cape ;Contact Related Crimes;2015;12498
Eastern Cape ;Contact Related Crimes;2016;12810
Eastern Cape ;Contact Related Crimes;2017;12027
Eastern Cape ;Contact Related Crimes;2018;12738
Eastern Cape ;Contact Related Crimes;2019;12721
Eastern Cape ;Contact Related Crimes;2020;11673
Free State;Contact Related Crimes;2011;9134
Free State;Contact Related Crimes;2012;9147
Free State;Contact Related Crimes;2013;8424
Free State;Contact Related Crimes;2014;7942
Free State;Contact Related Crimes;2015;7816
Free State;Contact Related Crimes;2016;6838
Free State;Contact Related Crimes;2017;6232
Free State;Contact Related Crimes;2018;6116
Free State;Contact Related Crimes;2019;5740
Free State;Contact Related Crimes;2020;5769
Gauteng  ;Contact Related Crimes;2011;37796
Gauteng  ;Contact Related Crimes;2012;36199
Gauteng  ;Contact Related Crimes;2013;35757
Gauteng  ;Contact Related Crimes;2014;35847
Gauteng  ;Contact Related Crimes;2015;35312
Gauteng  ;Contact Related Crimes;2016;34023
Gauteng  ;Contact Related Crimes;2017;32456
Gauteng  ;Contact Related Crimes;2018;31275
Gauteng  ;Contact Related Crimes;2019;29232
Gauteng  ;Contact Related Crimes;2020;24996
KwaZulu-Natal;Contact Related Crimes;2011;16424
KwaZulu-Natal;Contact Related Crimes;2012;16616
KwaZulu-Natal;Contact Related Crimes;2013;15850
KwaZulu-Natal;Contact Related Crimes;2014;15459
KwaZulu-Natal;Contact Related Crimes;2015;15534
KwaZulu-Natal;Contact Related Crimes;2016;14709
KwaZulu-Natal;Contact Related Crimes;2017;13637
KwaZulu-Natal;Contact Related Crimes;2018;14458
KwaZulu-Natal;Contact Related Crimes;2019;14120
KwaZulu-Natal;Contact Related Crimes;2020;13227
Limpopo;Contact Related Crimes;2011;7535
Limpopo;Contact Related Crimes;2012;7296
Limpopo;Contact Related Crimes;2013;7145
Limpopo;Contact Related Crimes;2014;7544
Limpopo;Contact Related Crimes;2015;8225
Limpopo;Contact Related Crimes;2016;7352
Limpopo;Contact Related Crimes;2017;7246
Limpopo;Contact Related Crimes;2018;7161
Limpopo;Contact Related Crimes;2019;6943
Limpopo;Contact Related Crimes;2020;6866
Mpumalanga;Contact Related Crimes;2011;6714
Mpumalanga;Contact Related Crimes;2012;6355
Mpumalanga;Contact Related Crimes;2013;5972
Mpumalanga;Contact Related Crimes;2014;6130
Mpumalanga;Contact Related Crimes;2015;6113
Mpumalanga;Contact Related Crimes;2016;5834
Mpumalanga;Contact Related Crimes;2017;5773
Mpumalanga;Contact Related Crimes;2018;6031
Mpumalanga;Contact Related Crimes;2019;6200
Mpumalanga;Contact Related Crimes;2020;5703
North West;Contact Related Crimes;2011;6913
North West;Contact Related Crimes;2012;6706
North West;Contact Related Crimes;2013;6201
North West;Contact Related Crimes;2014;6231
North West;Contact Related Crimes;2015;6076
North West;Contact Related Crimes;2016;6064
North West;Contact Related Crimes;2017;6144
North West;Contact Related Crimes;2018;6632
North West;Contact Related Crimes;2019;6210
North West;Contact Related Crimes;2020;5988
Northern Cape;Contact Related Crimes;2011;2969
Northern Cape;Contact Related Crimes;2012;3279
Northern Cape;Contact Related Crimes;2013;3250
Northern Cape;Contact Related Crimes;2014;3381
Northern Cape;Contact Related Crimes;2015;3256
Northern Cape;Contact Related Crimes;2016;3103
Northern Cape;Contact Related Crimes;2017;3083
Northern Cape;Contact Related Crimes;2018;3405
Northern Cape;Contact Related Crimes;2019;3241
Northern Cape;Contact Related Crimes;2020;3155
Western Cape;Contact Related Crimes;2011;24731
Western Cape;Contact Related Crimes;2012;25579
Western Cape;Contact Related Crimes;2013;27107
Western Cape;Contact Related Crimes;2014;30071
Western Cape;Contact Related Crimes;2015;29974
Western Cape;Contact Related Crimes;2016;29997
Western Cape;Contact Related Crimes;2017;28763
Western Cape;Contact Related Crimes;2018;29356
Western Cape;Contact Related Crimes;2019;27837
Western Cape;Contact Related Crimes;2020;24892
ZA;Property Related Crimes;2011;530624
ZA;Property Related Crimes;2012;558334
ZA;Property Related Crimes;2013;558228
ZA;Property Related Crimes;2014;553487
ZA;Property Related Crimes;2015;543524
ZA;Property Related Crimes;2016;540653
ZA;Property Related Crimes;2017;507975
ZA;Property Related Crimes;2018;495161
ZA;Property Related Crimes;2019;469224
ZA;Property Related Crimes;2020;369745
Eastern Cape ;Property Related Crimes;2011;55742
Eastern Cape ;Property Related Crimes;2012;55484
Eastern Cape ;Property Related Crimes;2013;53240
Eastern Cape ;Property Related Crimes;2014;53536
Eastern Cape ;Property Related Crimes;2015;51083
Eastern Cape ;Property Related Crimes;2016;53097
Eastern Cape ;Property Related Crimes;2017;51513
Eastern Cape ;Property Related Crimes;2018;51875
Eastern Cape ;Property Related Crimes;2019;49576
Eastern Cape ;Property Related Crimes;2020;42515
Free State;Property Related Crimes;2011;31772
Free State;Property Related Crimes;2012;34738
Free State;Property Related Crimes;2013;33234
Free State;Property Related Crimes;2014;31162
Free State;Property Related Crimes;2015;30622
Free State;Property Related Crimes;2016;29733
Free State;Property Related Crimes;2017;28653
Free State;Property Related Crimes;2018;28778
Free State;Property Related Crimes;2019;27567
Free State;Property Related Crimes;2020;22626
Gauteng  ;Property Related Crimes;2011;147690
Gauteng  ;Property Related Crimes;2012;153759
Gauteng  ;Property Related Crimes;2013;155188
Gauteng  ;Property Related Crimes;2014;155912
Gauteng  ;Property Related Crimes;2015;150955
Gauteng  ;Property Related Crimes;2016;154761
Gauteng  ;Property Related Crimes;2017;140476
Gauteng  ;Property Related Crimes;2018;133563
Gauteng  ;Property Related Crimes;2019;126844
Gauteng  ;Property Related Crimes;2020;90906
KwaZulu-Natal;Property Related Crimes;2011;84433
KwaZulu-Natal;Property Related Crimes;2012;91128
KwaZulu-Natal;Property Related Crimes;2013;88205
KwaZulu-Natal;Property Related Crimes;2014;86814
KwaZulu-Natal;Property Related Crimes;2015;86385
KwaZulu-Natal;Property Related Crimes;2016;83492
KwaZulu-Natal;Property Related Crimes;2017;80207
KwaZulu-Natal;Property Related Crimes;2018;78995
KwaZulu-Natal;Property Related Crimes;2019;74804
KwaZulu-Natal;Property Related Crimes;2020;62054
Limpopo;Property Related Crimes;2011;29335
Limpopo;Property Related Crimes;2012;28533
Limpopo;Property Related Crimes;2013;31479
Limpopo;Property Related Crimes;2014;31669
Limpopo;Property Related Crimes;2015;32081
Limpopo;Property Related Crimes;2016;31240
Limpopo;Property Related Crimes;2017;28725
Limpopo;Property Related Crimes;2018;28468
Limpopo;Property Related Crimes;2019;28449
Limpopo;Property Related Crimes;2020;22993
Mpumalanga;Property Related Crimes;2011;36169
Mpumalanga;Property Related Crimes;2012;36312
